filename,label,arch,nodes,edges,out_degree,in_degree,density,closeness_centrality,betweeness_centrality,connected_components,diameter,radius
a3012c30ee2cd6a4e5b1d51fbf82912c57e539f5b67f460239505a7c726a39df,0,7,122,165,0.008196721,0.008196721,0.011177347,0.016629028,0.000690963,14,10,2
a3031952a03c7086d910767d7b14f45e8403838b23a0caa618e12bab876b1e95,0,7,194,376,0.005154639,0.005154639,0.010042199,0.068625583,0.013324219,1,27,2
a3043682016b820faca7eea7ebbc1707b0ae62c04cb92dd9c7233a972add7fed,0,1,574,1050,0.00174216,0.00174216,0.00319244,0.086136598,0.01146767,24,25,2
a3046b956034c26f38855a4c1fa15879a0c5e51eaa3313d8a262d8655e461122,0,2,1276,2032,0.000783699,0.000783699,0.001249001,0.035662436,0.00420042,50,32,2
a30487e59c4bdee506dc1120f5065f40b33592eaad4569fcfef3f68952e8ee72,0,3,795,1529,0.001257862,0.001257862,0.002422255,0.063443357,0.006335106,5,73,2
a3049314b2f07e381dde7d656a90d08d106bde67f5338b3d504038e411ec90ca,0,2,1324,2212,0.000755287,0.000755287,0.001262808,0.039194499,0.003040665,71,25,2
a305d204d847eca98df8df048e77c72f3db0c609a6ca30a5e82629acf20d1701,0,1,1483,2854,0.000674309,0.000674309,0.001298568,0.052564685,0.007770736,24,45,2
a30670dfa17926fba2d55dbb0d23b24fbaad79325e3ae0022125c85fbed24473,0,1,145,237,0.006896552,0.006896552,0.011350575,0.052122973,0.015534657,5,21,2
a307105fd471ed114a20e5eee9b9472d6db309c555386528e6a50fd73045a6b4,0,1,1218,2247,0.000821018,0.000821018,0.001515881,0.045606701,0.008115082,3,46,2
a307f5797348d5ef3d9ca54b153e930f14c1157ae5366e5989fcc92fecb9841a,0,1,125,243,0.008,0.008,0.015677419,0.149312507,0.022122738,3,13,2
a30821ca384c55c7c26b515ae0b7bb8b51366722ac2ff6d3061efcbac0684fca,0,3,242,542,0.004132231,0.004132231,0.009293234,0.104526987,0.012423414,2,20,2
a30a10b4a840513bfd64581e107c4bd07106915c980c07368c0968c5b9a62cbc,0,1,1380,2799,0.000724638,0.000724638,0.00147082,0.07056669,0.007368432,19,38,2
a30ad2933e68bc70ee38ac1a3a8378ecb8f830deeb4b6ca31d61ac838ae1a63d,0,7,1260,2402,0.000793651,0.000793651,0.001514177,0.051947199,0.005106502,8,44,2
a30c4b2fe816048744b9ff5a8b4baccd9c264b9aa530a4421768146cdd327195,0,5,545,887,0.001834862,0.001834862,0.00299177,0.039186022,0.00279124,4,20,2
a30c5feda43895cc02580281ad0cefb83ed08f171fce081765e03d2ef16754f7,0,7,573,871,0.001745201,0.001745201,0.002657465,0.029317846,0.004818062,59,29,2
a30d8a33bb8b029ebc5b8ab7d6e3e5004eb8be493f04bf3bd63cfc547d35516b,0,3,1093,2876,0.000914913,0.000914913,0.002409606,0.140429805,0.004501716,3,43,2
a30dc25bc3c1642669fe7b9be85267519a8c504e1ffa18f38dee69ccedadf57e,0,3,1188,2296,0.000841751,0.000841751,0.001628189,0.071458676,0.006432446,1,76,2
a30de8b2e323181cf0b8f2392171e0ccf91c1dcbb04951ea65917af45d468a28,0,1,2547,5956,0.000392619,0.000392619,0.000918475,0.11678079,0.002525497,23,23,2
a30f5916e6d86042e3a349ef2bf5434d463c34b278c5e7ab7718e20bf8b4bd3c,0,1,183,321,0.005464481,0.005464481,0.009637903,0.082780575,0.034958943,1,25,2
a30f945241fbdc596aafad6cc47a0cd4882adc3521f05fed6c4fc727ddc1c326,0,7,786,1748,0.001272265,0.001272265,0.002833017,0.102164141,0.005549578,4,47,2
a3125a9d9ee450a17d5fd13271788468ea831dfd1901c00aab5e39b080b6ca25,0,7,194,263,0.005154639,0.005154639,0.007024197,0.022764612,0.008261945,24,26,2
a312f2480f58c8a643137ee26fe6f607e48ae20603f6bebb479660fe32e2ad59,0,7,542,1136,0.001845018,0.001845018,0.003874198,0.103088188,0.008105854,2,44,2
a31322b749f9adf7ac011557aea9d02f44b5b78cba9a198fdf2da3995b26ac9e,0,7,600,728,0.001666667,0.001666667,0.002025598,0.00350646,6.87e-05,43,19,2
a3141b6bd3b01cfee7b721a32754031ecc335c8629fcf2e8c531d2cf5c9a64e8,0,1,101,149,0.00990099,0.00990099,0.014752475,0.054092426,0.010661066,5,14,2
a31423e80e88d73060236b9fbebd3e77f984fdef6c8eadb7093b6e828d7f901c,0,1,383,666,0.002610966,0.002610966,0.004552103,0.060807437,0.008514226,44,27,2
a315ae409087c4e17490e8431ac80d434b67f32fcfe7b0971ecab8530db75681,0,7,3717,9092,0.000269034,0.000269034,0.00065825,0.101202686,0.001727174,10,81,2
a31655cccf0e3641e5a046485dece45800984618a97532f692f35ea255a84b13,0,7,346,540,0.002890173,0.002890173,0.00452375,0.018663956,0.013943577,8,54,2
a3169a2ba416b55bf83868ee87e7d5324164e21fc8c91ba027cd3a9b71d45bce,0,7,126,183,0.007936508,0.007936508,0.011619048,0.0274183,0.003226318,3,11,2
a317b3a29f6a6a987558e3e86a9bc1a32a59f44b935d9cd74cbbf71907f367f1,0,7,14,14,0.071428571,0.071428571,0.076923077,0.082417582,0.002747253,2,3,2
a3181a7fb88ac361829a763bb7679ba854214a2104016e689c57809a67f64849,0,7,3150,6359,0.00031746,0.00031746,0.00064107,0.056105336,0.002788771,11,68,2
a31acc3596268958335e2f66449ffc147f13dc68a209f4e03db1834c5ce0e514,0,7,746,1228,0.001340483,0.001340483,0.002209547,0.030473499,0.007366035,46,77,2
a31b7d334aeede24f37cd793e489c125523d102bfde525f4e4847f5bc9a2fb0f,0,1,1397,2818,0.00071582,0.00071582,0.001444971,0.099713793,0.005605919,7,30,2
a31bd4cbe9bd225a47e0e50a04b34493fceec9a932f6098970ad30e2a5518334,0,3,360,651,0.002777778,0.002777778,0.00503714,0.037537584,0.027644662,3,62,2
a31bf24add156caa61ee6f3cf7661ea9049b07023c2029af12d62d21b06726e9,0,7,79,97,0.012658228,0.012658228,0.015741642,0.036989613,0.010057453,5,15,2
a31c15e7a19c4e090825f86245a3d4d4b95f38cf008174e901714d34c9662e6e,0,7,58,77,0.017241379,0.017241379,0.023290986,0.041727987,0.011974981,2,15,2
a31c4a6fe72e14f3a8c4d2c3cea75e108b227c650857137ec3b2fa04952dce7a,0,7,688,1260,0.001453488,0.001453488,0.002665787,0.044728063,0.008002131,4,103,2
a31cdae1062d756d4f163a3c891bf3e013238cd7ec655bc89789a9eae6f40d9f,0,5,845,1320,0.001183432,0.001183432,0.001850865,0.035738208,0.006030476,7,38,2
a31d876b4ce0142b2dc0fc5217d5d51248ca96f69df0331ae7ef5b05902126d7,0,3,262,501,0.003816794,0.003816794,0.007326489,0.040952697,0.012518139,1,35,2
a31e0273c5cb0973f6b119db3fdd93b8cfca351ce0e091032a642cc444d6d8ce,0,3,375,608,0.002666667,0.002666667,0.004335116,0.039488987,0.010211581,26,36,2
a31e60a05f397049f82fa78a59fc5d3c6442d3ffac776c8c77db84895d942539,0,7,941,1732,0.001062699,0.001062699,0.00195808,0.031863032,0.004841404,18,42,2
a31e7496ac5c2f0000511d498a1b5a0fb6cb04eb731f672990bc1764001cee77,0,3,10,6,0.1,0.1,0.066666667,0.066666667,0.0,4,2,2
a31ea3b6cfe875be1c8f9b9c2bf8cea43314243361c94d04d7f78770d5c7f1ca,0,2,3925,7481,0.000254777,0.000254777,0.000485726,0.062461334,0.00149352,97,34,2
a31eb1f7d5f4344785dccec68ca003886b1217d8c4b2a509580469347b7449a9,0,7,1403,2668,0.000712758,0.000712758,0.001356376,0.067911329,0.004429918,52,30,2
a31eecd99d299c262e37f84a8e65b051e9b48021cff5707f938a02769b421e17,0,7,223,330,0.004484305,0.004484305,0.006665859,0.010964859,0.000540818,8,18,2
a31f2d61db3e5196812d1323afcbbd93886ba588c7d7d41fb088bcb926e63f16,0,3,1124,1977,0.00088968,0.00088968,0.001566248,0.018514166,0.003229807,7,56,2
a3214f153db988226737ebca8969f711f0803650f642a1f20e26c8410809569b,0,3,1959,3763,0.000510465,0.000510465,0.000981041,0.072933354,0.003616767,71,33,2
a32158c132dd0a3cfd45a5d6c2e8ec979bcc882e9ac9191140f7f84c11b4ccf2,0,1,1025,2795,0.00097561,0.00097561,0.002662919,0.070969096,0.009348135,41,70,2
a321fd5cd4b066cdf768bd0a83489db4c4ec80958232793fce4d931071dda235,0,7,160,268,0.00625,0.00625,0.010534591,0.041782664,0.027052235,2,32,2
a321fee2c8aa0e5eb78289b5eb6e64b6bdf90bccb4d758f7fb5d325d4050e776,0,1,921,2039,0.001085776,0.001085776,0.002406411,0.107573233,0.007686863,9,24,2
a32310c79fa44b052e67cbf16dbb91a2fb4217a3ff6691c2fdd8e764adf274bb,0,6,543,696,0.001841621,0.001841621,0.002364886,0.008036468,0.001237681,28,38,2
a32502e968a9fcd735a556611014323f8644934e2e47c9fd2765bac03e47df9e,0,3,2391,5165,0.000418235,0.000418235,0.000903843,0.115348448,0.003035868,5,69,2
a3252510abc877457361bfb9eeed6e1d8e4cef89ebe0d15dec4744f014895e41,0,7,220,313,0.004545455,0.004545455,0.006496472,0.031652886,0.000850595,34,12,2
a3259cb0a855c20f00bef0bc65f8d0003c1fd41dc51b71b543beb1bc314eb016,0,1,958,1801,0.001043841,0.001043841,0.001964429,0.075906649,0.011527959,8,36,2
a32661c0c93b2845689ed21616849a9f4b7100ca4317c429c2e94d1a7e034ffa,0,3,279,486,0.003584229,0.003584229,0.006265955,0.042137323,0.00825784,2,34,2
a326a0a47199e77987c1c96afa13634fc231221f3f8c4daf3469e37612c760e0,0,1,172,276,0.005813953,0.005813953,0.009383925,0.060805448,0.022159823,9,28,2
a327ed522eff27dacaaa23216cf0266642de3a1f572c0ce209a49dec1f0eecdb,0,7,70,103,0.014285714,0.014285714,0.021325052,0.044364462,0.036837779,2,28,2
a328c91215241f9c6cdc3cb7cad24792b0d84c365477bcca96d1e34edac87fcf,0,1,1342,2328,0.000745156,0.000745156,0.001293605,0.06000582,0.005020872,40,39,2
a32926e862cfd1eee0ae754b3ec5de25eb9abbc4c1dc50a4afbfab57fd570d14,0,7,3450,6327,0.000289855,0.000289855,0.000531723,0.054749266,0.002642239,79,44,2
a329dea45aefa6081b7ac8e8d52af6e6bd6ba2f4fe89e318a15bd4557c6b6c40,0,1,1422,3060,0.000703235,0.000703235,0.001514355,0.098174601,0.005707852,8,27,2
a32b410c773298734f404c9ffd907bf7b6dca67f5bcc4530905e467687eef4ef,0,7,6712,8516,0.000148987,0.000148987,0.000189059,0.000276842,3.28e-06,292,169,2
a32c6a531cc4e04d477f189126d47ff916df44bf667909ab2d3c26974f03c13a,0,3,1455,2993,0.000687285,0.000687285,0.001414749,0.092908403,0.004463368,2,44,2
a32c8279c0dc9b04d2ac2169457a96ffcab908d0295b285408e4b4f5e0d2c0c7,0,6,635,687,0.001574803,0.001574803,0.001706451,0.002435529,2.13e-05,36,14,2
a32cb5568e665170fe3ab998fc77c92c7e4bff0ef0495415e19924d2709db8fa,0,7,190,334,0.005263158,0.005263158,0.00930103,0.06832988,0.014172992,2,21,2
a32f113dbf3f503ef6befdd5ce3a5f0292da352cb581e39e992039bcd5fa69c4,0,7,995,1937,0.001005025,0.001005025,0.001958485,0.074766121,0.007873488,2,58,2
a32f327a5913a43bc4224606580a290ba41a52060c9740261bb86eabfe5dfa49,0,1,1116,2093,0.000896057,0.000896057,0.001682016,0.078676067,0.008281867,3,33,2
a32ff6cb6d405b4549dc428dd0a84d06cb06b2eb2199ee497bc2ee765a3b4e09,0,10,1890,2900,0.000529101,0.000529101,0.000812277,0.011066932,0.004519075,262,84,2
a3303e1ed60d5764b249197170f43c6597f6cabcdad68648e914bee7462fcedf,0,3,190,302,0.005263158,0.005263158,0.008409914,0.037497084,0.007148486,7,20,2
a3309676340e2bebf485b435314ac6439ff3e36d034cb687b1dc97f346b16bdd,0,1,172,261,0.005813953,0.005813953,0.008873929,0.031874044,0.00624855,3,20,2
a330c7d500aeaf1e2bf2846207c4f8eb3f8b0b7171c467055fb2a33b797fc986,0,1,2259,4335,0.000442674,0.000442674,0.000849863,0.059463897,0.00399469,47,48,2
a331c551780b4721cbe6f7d37b0297adcd19ac4023a9f283becdb66f106d1df8,0,7,1431,2730,0.000698812,0.000698812,0.001334096,0.051381612,0.006992388,41,44,2
a331ed6f859551ab2649151f9f5f207351e7b6724797480c1ad4c5a22ca12792,0,5,446,701,0.002242152,0.002242152,0.00353202,0.043018565,0.008404236,8,26,2
a3328a55daf6b414079afd99e6742d71079ea7816dbb50c732a344e29aff193c,0,7,223,460,0.004484305,0.004484305,0.009291803,0.089612222,0.01303046,2,26,2
a332e20a957b2658d61e5a331df2e36c86dd48eb6078adb145532eb3821a2e47,0,8,1649,1870,0.000606428,0.000606428,0.000688119,0.003348066,5.26e-05,215,65,2
a332f0f04d2138a67b37e0e5073dfcc1ec96ca048887043ade0b3cfc0e5db0fc,0,1,354,713,0.002824859,0.002824859,0.005705735,0.047039627,0.013278218,4,32,2
a33318e8981da85db2f5e7769ba8bad8ee114b83ab46c4123ce3c6f0101db9f2,0,3,1778,3208,0.00056243,0.00056243,0.001015349,0.021731764,0.002651511,17,46,2
a3ffb8a915873cba82bb3022a026fd251041dcf1be09beaa29693c093d5716cc,0,7,883,1315,0.001132503,0.001132503,0.001688482,0.00336017,0.000146436,23,30,2
