filename,label,threshold(report >= 5),CPU Architecture
6737cb775774a9c0f3991a0b563c86f73402c9ae46751c394a7e50bd7c5bce41,Mirai,True,ppceb
677f6ce310dd98710c3c3aa68c91ecad211a889a62d5d5859c9a7b0cf42d3029,Bashlite,True,mipsel
67b123db3e2028909114b6b0405fdfa3edfa19d1f23c5242ef7393d8493f7dc9,Mirai,False,x86el
67e5eedd11a267ab607299340b1fd951dd4555671cce9d7f20c19461ee7a629f,Mirai,True,ppceb
67b0316f6a22c778c9d2802700e21dcfd4c8ca9d4e3b207a069c2ef72fde9630,Bashlite,True,x86el
673b7da867cd13dd61e3eaba432330b08ade4f25c05db3f72e4860afa1cdb0a8,Mirai,True,armel
671722856f2b5bd068005308aae8396e2532f8dc5cc26a3202671ca3327fb3db,Mirai,True,mipseb
67ee8e3f0cd5eb361e5dccb7a4b01dc431495370ff21be13505cb4ea44b2eef3,Mirai,True,armel
67cd48f82c823098665eac65b6d636e052f972ab26b3c740fa91afd7f43e054d,Mirai,True,ppceb
6797a4340f361badc78fe1f0c62bd2c84a0b346759fc8bb1ce6155980628fc45,Mirai,False,armel
67f5e2d30d84f947b221006209f1e3c7cc9636dfc0cd89fc22bbfdd7d920b127,Bashlite,True,ppceb
677ea66c47ac812aac2f5f3032f7539f0e7781f1b6df692aca896c1812838a25,Mirai,True,x86el
67ae59013de60e78915df0595aae14af3d5fe97b2017cb14cd2e28d1705d4607,Mirai,True,armel
6764ea8f4bda9d541f7a9d5542e7cdb5cc417857ac2d31bcfa0cc4f3eb5d5714,Bashlite,True,x86_64el
673bb2b6ace8f0a9715b246dd1b81a8167097de82a768be11697197efe3efefe,Bashlite,True,ppceb
67924faf32ada9cc8e9bf677594ccde259fb5707153c917a6cb10d55ef59af33,Mirai,True,x86el
67e72d6414a90fc7a752665b411be18c25aa2a837de460cec864145310a45399,Mirai,True,ppceb
6729909b1b5e603be09fc269113930f8a046745c4062cbc8dee01b30f1ae702a,Mirai,True,armel
671375292221b34e6084d3e8a4de1049eb811ec13c160b2d8308cac1900e387b,Bashlite,True,mipseb
6771b7e07e62b17b6636555e48e7227c4f3df85dfba852db0b70ba5ea777bada,Mirai,True,mipsel
